,Title,Rating,Year,Director,Date of release,Duration,Genre,Type,Platform
0,planet earth ii,9.4,2016,"David Attenborough, Chadden Hunter",2016,1 Season,"British TV Shows, Docuseries, Science & Nature TV",Tv Show,Netflix
1,breaking bad,9.4,2008,"Bryan Cranston, Aaron Paul",2013,5 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers",Tv Show,Netflix
2,blue planet ii,9.2,2017,"David Attenborough, Peter Drost",2017,1 Season,"British TV Shows, Docuseries, Science & Nature TV",Tv Show,Netflix
3,avatar: the last airbender,9.2,2005,"Dee Bradley Baker, Zach Tyler Eisen",2007,3 Seasons,"Classic & Cult TV, Kids' TV, TV Action & Adventure",Tv Show,Netflix
4,our planet,9.2,2019,David Attenborough,2019,1 Season,"Docuseries, Science & Nature TV",Tv Show,Netflix
5,fullmetal alchemist: brotherhood,9.1,2009,"Kent Williams, Iemasa Kayumi",2010,5 Seasons,"Anime Series, International TV Shows",Tv Show,Netflix
6,the last dance,9.0,2020,"Michael Jordan, Phil Jackson",2020,1 Season,Docuseries,Tv Show,Netflix
7,life,9.0,2009,"Oprah Winfrey, David Attenborough",2018,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Tv Show,Netflix
8,sherlock,9.0,2010,"Benedict Cumberbatch, Martin Freeman",2017,4 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",Tv Show,Netflix
9,attack on titan,8.9,2013,"Josh Grelle, YÃ»ki Kaji",2013,1 Season,"Anime Series, International TV Shows",Tv Show,Netflix
10,frozen planet,8.9,2011,"David Attenborough, Alec Baldwin",2011,1 Season,"British TV Shows, Docuseries, International TV Shows",Tv Show,Netflix
11,death note,8.9,2006,"Mamoru Miyano, Brad Swaile",2017,100 min,"Horror Movies, Thrillers",Tv Show,Netflix
12,death note,8.9,2006,"Mamoru Miyano, Brad Swaile",2006,1 Season,"Anime Series, Crime TV Shows, International TV Shows",Tv Show,Netflix
13,persona,8.9,2018,"Haluk Bilginer, Cansu Dere",2019,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Tv Show,Netflix
14,friends,8.8,1994,"Jennifer Aniston, Courteney Cox",2003,10 Seasons,"Classic & Cult TV, TV Comedies",Tv Show,Netflix
15,when they see us,8.8,2019,"Asante Blackk, Caleel Harris",2019,1 Season,"Crime TV Shows, TV Dramas",Tv Show,Netflix
16,africa,8.8,2013,"David Attenborough, Simon Blakeney",2013,1 Season,"British TV Shows, Docuseries, International TV Shows",Tv Show,Netflix
17,monty python's flying circus,8.8,1969,"Graham Chapman, John Cleese",1974,4 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows",Tv Show,Netflix
18,better call saul,8.8,2015,"Bob Odenkirk, Rhea Seehorn",2018,4 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",Tv Show,Netflix
19,the west wing,8.8,1999,"Martin Sheen, Rob Lowe",2005,7 Seasons,TV Dramas,Tv Show,Netflix
20,leyla and mecnun,8.7,2011,"Ali Atay, Serkan Keskin",2014,3 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Tv Show,Netflix
21,twin peaks,8.7,1990,"Kyle MacLachlan, Michael Ontkean",1990,2 Seasons,"Classic & Cult TV, Crime TV Shows, TV Dramas",Tv Show,Netflix
22,twin peaks,8.5,2017,"Kyle MacLachlan, Sheryl Lee",1990,2 Seasons,"Classic & Cult TV, Crime TV Shows, TV Dramas",Tv Show,Netflix
23,black mirror,8.7,2011,"Daniel Lapaine, Hannah John-Kamen",2019,5 Seasons,"British TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
24,narcos,8.7,2015,"Pedro Pascal, Wagner Moura",2017,3 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas",Tv Show,Netflix
25,chappelle's show,8.7,2003,"Dave Chappelle, Donnell Rawlings",2005,2 Seasons,TV Comedies,Tv Show,Netflix
26,bojack horseman,8.7,2014,"Will Arnett, Amy Sedaris",2020,6 Seasons,TV Comedies,Tv Show,Netflix
27,peaky blinders,8.7,2013,"Cillian Murphy, Paul Anderson",2019,5 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",Tv Show,Netflix
28,one piece,8.7,1999,"Mayumi Tanaka, Laurent Vernin",2002,4 Seasons,Anime Series,Tv Show,Netflix
29,dark,8.7,2017,"Louis Hofmann, Karoline Eichhorn",2020,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
30,kota factory,8.7,2019,"Mayur More, Jitendra Kumar",2021,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Tv Show,Netflix
31,arrested development,8.7,2003,"Jason Bateman, Michael Cera",2019,5 Seasons,TV Comedies,Tv Show,Netflix
32,stranger things,8.7,2016,"Millie Bobby Brown, Finn Wolfhard",2019,3 Seasons,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",Tv Show,Netflix
33,downton abbey,8.6,2010,"Hugh Bonneville, Phyllis Logan",2015,6 Seasons,"British TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
34,mad men,8.6,2007,"Jon Hamm, Elisabeth Moss",2014,7 Seasons,TV Dramas,Tv Show,Netflix
35,house of cards,8.6,2013,"Kevin Spacey, Michel Gill",2018,6 Seasons,"TV Dramas, TV Thrillers",Tv Show,Netflix
36,the crown,8.6,2016,"Claire Foy, Olivia Colman",2020,4 Seasons,"British TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
37,star trek: the next generation,8.6,1987,"Patrick Stewart, Brent Spiner",1993,7 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy",Tv Show,Netflix
38,friday night lights,8.6,2006,"Kyle Chandler, Connie Britton",2010,5 Seasons,"TV Dramas, Teen TV Shows",Tv Show,Netflix
39,dexter,8.6,2006,"Michael C. Hall, Jennifer Carpenter",2013,8 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",Tv Show,Netflix
40,parks and recreation,8.6,2009,"Amy Poehler, Jim O'Heir",2015,7 Seasons,TV Comedies,Tv Show,Netflix
41,demon slayer: kimetsu no yaiba,8.6,2019,"Natsuki Hanae, Zach Aguilar",2019,1 Season,"Anime Series, International TV Shows",Tv Show,Netflix
42,the bridge,8.6,2011,"Sofia Helin, Rafael Pettersson",2017,119 min,"Dramas, International Movies, Romantic Movies",Tv Show,Netflix
43,mystery science theater 3000,8.6,1988,"Joel Hodgson, Michael J. Nelson",1999,1 Season,"TV Comedies, TV Sci-Fi & Fantasy",Tv Show,Netflix
44,gomorrah,8.6,2014,"Salvatore Esposito, Marco D'Amore",2016,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
45,mahabharat,8.6,1988,"Harish Bhimani, Nitish Bharadwaj",2013,119 min,"Action & Adventure, Dramas, International Movies",Tv Show,Netflix
46,mindhunter,8.5,2017,"Jonathan Groff, Holt McCallany",2019,2 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",Tv Show,Netflix
47,making a murderer,8.5,2015,"Steven Avery, Dolores Avery",2018,2 Seasons,"Crime TV Shows, Docuseries",Tv Show,Netflix
48,monster,8.5,2004,"Hidenobu Kiuchi, Liam O'Brien",2021,99 min,Dramas,Tv Show,Netflix
49,anne with an e,8.5,2017,"Amybeth McNulty, Geraldine James",2019,3 Seasons,"International TV Shows, TV Dramas, Teen TV Shows",Tv Show,Netflix
50,yeh meri family,8.5,2018,"Vishesh Bansal, Mona Singh",2018,1 Season,"International TV Shows, TV Comedies",Tv Show,Netflix
51,the haunting of hill house,8.5,2018,"Michiel Huisman, Carla Gugino",2018,1 Season,"TV Dramas, TV Horror, TV Mysteries",Tv Show,Netflix
52,formula 1: drive to survive,8.5,2019,"Jack Nicholls, Lewis Hamilton",2021,3 Seasons,Docuseries,Tv Show,Netflix
53,the queen's gambit,8.5,2020,"Anya Taylor-Joy, Chloe Pirrie",2020,1 Season,TV Dramas,Tv Show,Netflix
54,ramayan,8.5,1987,"Arun Govil, Deepika Chikhalia",2012,1 Season,"International TV Shows, TV Dramas",Tv Show,Netflix
55,crash landing on you,8.5,2019,"Hyun Bin, Son Ye-jin",2019,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Tv Show,Netflix
56,the it crowd,8.5,2006,"Chris O'Dowd, Richard Ayoade",2013,5 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows",Tv Show,Netflix
57,pose,8.5,2018,"Michaela JaÃ© (MJ) Rodriguez, Dominique Jackson",2019,2 Seasons,TV Dramas,Tv Show,Netflix
58,cobra kai,8.5,2018,"Ralph Macchio, William Zabka",2021,3 Seasons,"TV Action & Adventure, TV Comedies, TV Dramas",Tv Show,Netflix
59,spartacus,8.5,2010,"Andy Whitfield, Lucy Lawless",2013,4 Seasons,"TV Action & Adventure, TV Dramas",Tv Show,Netflix
60,fullmetal alchemist,8.5,2003,"Vic Mignogna, Aaron Dismuke",2017,134 min,"Action & Adventure, Dramas, International Movies",Tv Show,Netflix
61,fullmetal alchemist,8.5,2003,"Vic Mignogna, Aaron Dismuke",2003,1 Season,"Anime Series, International TV Shows",Tv Show,Netflix
62,north & south,8.5,2004,"Daniela Denby-Ashe, Richard Armitage",2004,1 Season,"British TV Shows, Romantic TV Shows, TV Dramas",Tv Show,Netflix
63,neon genesis evangelion,8.5,1995,"Megumi Ogata, Megumi Hayashibara",1995,1 Season,"Anime Series, International TV Shows",Tv Show,Netflix
64,trailer park boys,8.5,2001,"John Paul Tremblay, Robb Wells",2018,12 Seasons,"Classic & Cult TV, Crime TV Shows, International TV Shows",Tv Show,Netflix
65,ezel,8.5,2009,"Kenan Imirzalioglu, Cansu Dere",2009,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Tv Show,Netflix
66,mob psycho 100,8.5,2016,"Setsuo Ito, Takahiro Sakurai",2018,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",Tv Show,Netflix
67,hannibal,8.5,2013,"Hugh Dancy, Mads Mikkelsen",2015,3 Seasons,"TV Horror, TV Mysteries, TV Thrillers",Tv Show,Netflix
68,community,8.4,2009,"Joel McHale, Danny Pudi",2015,6 Seasons,TV Comedies,Tv Show,Netflix
69,schitt's creek,8.4,2015,"Eugene Levy, Catherine O'Hara",2020,6 Seasons,TV Comedies,Tv Show,Netflix
70,chef's table,8.4,2015,"Massimo Bottura, Ruth Reichl",2019,6 Seasons,"Docuseries, Reality TV",Tv Show,Netflix
71,your lie in april,8.4,2014,"Natsuki Hanae, Risa Taneda",2014,1 Season,"Anime Series, International TV Shows, Romantic TV Shows",Tv Show,Netflix
72,wentworth,8.4,2013,"Kate Atkinson, Katrina Milosevic",2020,8 Seasons,"Crime TV Shows, TV Dramas",Tv Show,Netflix
73,erased,8.4,2016,"Ben Diskin, Tao Tsuchiya",2016,1 Season,"Anime Series, International TV Shows, TV Thrillers",Tv Show,Netflix
74,ozark,8.4,2017,"Jason Bateman, Laura Linney",2020,3 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers",Tv Show,Netflix
0,the lion king,8.5,1994,Roger Allers,2019,125 min,"Action-Adventure, Coming of Age, Drama",Movie,Disney Plus
1,toy story,8.3,1995,John Lasseter,1995,83 min,"Action-Adventure, Animation, Buddy",Movie,Disney Plus
2,coco,8.3,2017,Lee Unkrich,2017,105 min,"Animation, Family, Fantasy",Movie,Disney Plus
3,toy story 3,8.3,2010,Lee Unkrich,2010,103 min,"Animation, Comedy, Drama",Movie,Disney Plus
4,up,8.2,2009,Pete Docter,2009,96 min,"Action-Adventure, Animation, Buddy",Movie,Disney Plus
5,hamilton,8.2,2020,Thomas Kail,2020,160 min,"Biographical, Historical, Musical",Movie,Disney Plus
6,finding nemo,8.1,2003,Andrew Stanton,2003,103 min,"Action-Adventure, Animation, Comedy",Movie,Disney Plus
7,inside out,8.1,2015,Pete Docter,2015,95 min,"Animation, Coming of Age, Family",Movie,Disney Plus
8,"monsters, inc.",8.1,2001,Pete Docter,2001,93 min,"Animation, Buddy, Comedy",Movie,Disney Plus
9,ratatouille,8.0,2007,Brad Bird,2007,111 min,"Animation, Comedy, Family",Movie,Disney Plus
10,the incredibles,8.0,2004,Brad Bird,2004,116 min,"Action-Adventure, Animation, Family",Movie,Disney Plus
11,pirates of the caribbean: the curse of the black pearl,8.0,2003,Gore Verbinski,2003,144 min,"Action-Adventure, Fantasy",Movie,Disney Plus
12,the sound of music,8.0,1965,Robert Wise,1965,175 min,"Biographical, Family, Historical",Movie,Disney Plus
13,beauty and the beast,8.0,1991,Gary Trousdale,2017,138 min,"Family, Fantasy, Musical",Movie,Disney Plus
0,cosmos: a spacetime odyssey,9.2,2014,"Neil deGrasse Tyson, Christopher Emerson",2013,1 Season,"Action-Adventure, Docuseries, Family",Tv Show,Disney Plus
1,the beatles: get back,8.9,2021,"The Beatles, John Lennon",2021,1 Season,"Docuseries, Historical, Music",Tv Show,Disney Plus
2,the mandalorian,8.7,2019,"Pedro Pascal, Carl Weathers",2019,2 Seasons,"Action-Adventure, Family, Science Fiction",Tv Show,Disney Plus
3,the simpsons,8.7,1989,"Dan Castellaneta, Nancy Cartwright",1989,32 Seasons,"Animation, Comedy",Tv Show,Disney Plus
4,invincible,8.6,2021,"Steven Yeun, J.K. Simmons",2006,105 min,"Biographical, Family, Sports",Tv Show,Disney Plus
0,it's a wonderful life,8.6,1946,Frank Capra,1946,131 min,"Drama, Fantasy",Movie,Amazon Prime
1,joker,8.3,2019,Todd Phillips,2016,129 min,"Comedy, Drama, International",Movie,Amazon Prime
2,the boat,8.3,1981,Wolfgang Petersen,2019,89 min,"Horror, Suspense",Movie,Amazon Prime
3,the hunt,8.3,2012,Thomas Vinterberg,2020,92 min,Horror,Movie,Amazon Prime
4,m,8.3,1931,Fritz Lang,2019,107 min,Music Videos and Concerts,Movie,Amazon Prime
5,die hard,8.2,1988,John McTiernan,1988,132 min,Suspense,Movie,Amazon Prime
6,the father,8.2,2020,Florian Zeller,2015,1 Season,Drama,Movie,Amazon Prime
7,the elephant man,8.1,1980,David Lynch,1980,123 min,"Drama, Suspense",Movie,Amazon Prime
8,inside out,8.1,2015,Pete Docter,2005,95 min,Suspense,Movie,Amazon Prime
9,catch me if you can,8.1,2002,Steven Spielberg,2002,141 min,Suspense,Movie,Amazon Prime
10,stand by me,8.0,1986,Rob Reiner,2021,1 Season,"Drama, Romance",Movie,Amazon Prime
11,the exorcist,8.0,1973,William Friedkin,2017,2 Seasons,TV Shows,Movie,Amazon Prime
12,the handmaiden,8.0,2016,Park Chan-wook,2016,145 min,"International, LGBTQ, Suspense",Movie,Amazon Prime
13,beauty and the beast,8.0,1991,Gary Trousdale,2010,90 min,"Drama, Romance, Science Fiction",Movie,Amazon Prime
0,avatar: the last airbender,9.2,2005,"Dee Bradley Baker, Zach Tyler Eisen",2008,3 Seasons,Kids,Tv Show,Amazon Prime
1,cosmos,9.2,1980,"Carl Sagan, JaromÃ­r HanzlÃ­k",2019,129 min,"Action, Science Fiction",Tv Show,Amazon Prime
2,firefly,8.9,2002,"Nathan Fillion, Gina Torres",2005,99 min,"Drama, Suspense",Tv Show,Amazon Prime
3,the office,8.9,2005,"Steve Carell, Jenna Fischer",2003,2 Seasons,Comedy,Tv Show,Amazon Prime
4,the office,8.5,2001,"Ricky Gervais, Martin Freeman",2003,2 Seasons,Comedy,Tv Show,Amazon Prime
5,clarkson's farm,8.9,2021,"Jeremy Clarkson, Kaleb Cooper",2021,1 Season,"Documentary, Unscripted",Tv Show,Amazon Prime
6,dark,8.7,2017,"Louis Hofmann, Karoline Eichhorn",2018,122 min,"Action, Suspense",Tv Show,Amazon Prime
7,the boys,8.7,2019,"Karl Urban, Jack Quaid",2020,2 Seasons,Action,Tv Show,Amazon Prime
8,fleabag,8.6,2016,"Phoebe Waller-Bridge, Sian Clifford",2019,2 Seasons,Comedy,Tv Show,Amazon Prime
9,downton abbey,8.6,2010,"Hugh Bonneville, Phyllis Logan",2016,6 Seasons,"Drama, Historical",Tv Show,Amazon Prime
10,invincible,8.6,2021,"Steven Yeun, J.K. Simmons",2021,1 Season,"Action, Animation",Tv Show,Amazon Prime
11,vinland saga,8.6,2019,"Kira Buckland, J. Michael Tatum",2019,1 Season,Anime,Tv Show,Amazon Prime
12,the marvelous mrs. maisel,8.6,2017,"Rachel Brosnahan, Alex Borstein",2019,3 Seasons,"Comedy, Drama",Tv Show,Amazon Prime
13,star trek: the next generation,8.6,1987,"Patrick Stewart, Brent Spiner",1994,7 Seasons,"Drama, Science Fiction, Special Interest",Tv Show,Amazon Prime
14,panchayat,8.6,2020,"Jitendra Kumar, Raghuvir Yadav",2020,1 Season,TV Shows,Tv Show,Amazon Prime
15,the grand tour,8.6,2016,"Jeremy Clarkson, James May",2020,4 Seasons,"Comedy, Documentary, Sports",Tv Show,Amazon Prime
16,line of duty,8.6,2012,"Martin Compston, Vicky McClure",2019,99 min,"Action, Adventure",Tv Show,Amazon Prime
17,dexter,8.6,2006,"Michael C. Hall, Jennifer Carpenter",2013,8 Seasons,"Drama, Suspense",Tv Show,Amazon Prime
18,this is us,8.6,2016,"Milo Ventimiglia, Mandy Moore",2020,4 Seasons,TV Shows,Tv Show,Amazon Prime
19,the bridge,8.6,2011,"Sofia Helin, Rafael Pettersson",2014,2 Seasons,"Drama, Suspense",Tv Show,Amazon Prime
20,daredevil,8.6,2015,"Charlie Cox, Vincent D'Onofrio",2003,104 min,Action,Tv Show,Amazon Prime
21,monster,8.5,2004,"Hidenobu Kiuchi, Liam O'Brien",2019,138 min,"Comedy, Drama",Tv Show,Amazon Prime
22,mr. bean,8.5,1990,"Rowan Atkinson, Robin Driscoll",1995,1 Season,"Comedy, Kids",Tv Show,Amazon Prime
23,the family man,8.5,2019,"Manoj Bajpayee, Samantha Ruth Prabhu",2021,2 Seasons,"Action, Drama, International",Tv Show,Amazon Prime
24,mr. robot,8.5,2015,"Rami Malek, Christian Slater",2019,4 Seasons,TV Shows,Tv Show,Amazon Prime
25,endeavour,8.5,2012,"Shaun Evans, Roger Allam",2020,7 Seasons,"Drama, Historical",Tv Show,Amazon Prime
26,community,8.4,2009,"Joel McHale, Danny Pudi",2015,6 Seasons,TV Shows,Tv Show,Amazon Prime
27,the expanse,8.4,2015,"Steven Strait, Dominique Tipper",2021,5 Seasons,"Action, Science Fiction",Tv Show,Amazon Prime
28,garth marenghi's darkplace,8.4,2004,"Richard Ayoade, Matt Berry",2004,1 Season,Comedy,Tv Show,Amazon Prime
29,gintama,8.4,2005,"Tomokazu Sugita, Daisuke Sakaguchi",2018,131 min,"Action, Fantasy, Science Fiction",Tv Show,Amazon Prime
